0,15,20
1,17,34
2,21,27
3,26,18
4,25,12
5,24,10
6,22,6
7,27,8
8,30,8
9,36,6
10,38,2
11,37,1
12,37,0
13,37,0
14,45,0
15,44,0
16,45,0
17,44,0
18,43,0
19,42,0
20,37,0
21,42,0
22,39,0
23,35,0
24,33,0
25,33,0
26,36,0
27,35,0
28,33,0
29,29,0
30,29,0
31,26,0
32,30,0
33,30,0
34,25,0
35,23,0
36,21,0
37,20,0
38,25,0
39,23,0
40,19,0
41,17,0
42,17,0
43,15,0
44,18,0
45,14,0
46,15,0
47,13,0




























































































































































































































































